Symbol,Company_Name,Yahoo_Symbol
CASTROLIND,Castrol India Limited,CASTROLIND.NS
CCCL,Consolidated Construction Consortium Limited,CCCL.NS
CCHHL,Country Club Hospitality & Holidays Limited,CCHHL.NS
CCL,CCL Products (India) Limited,CCL.NS
CDSL,Central Depository Services (India) Limited,CDSL.NS
CEATLTD,CEAT Limited,CEATLTD.NS
CEBBCO,Commercial Engineers & Body Builders Co Limited,CEBBCO.NS
CELEBRITY,Celebrity Fashions Limited,CELEBRITY.NS
CENTENKA,Century Enka Limited,CENTENKA.NS
CENTEXT,Century Extrusions Limited,CENTEXT.NS
CENTRALBK,Central Bank of India,CENTRALBK.NS
CENTRUM,Centrum Capital Limited,CENTRUM.NS
CENTUM,Centum Electronics Limited,CENTUM.NS
CENTURYPLY,Century Plyboards (India) Limited,CENTURYPLY.NS
CENTURYTEX,Century Textiles & Industries Limited,CENTURYTEX.NS
CERA,Cera Sanitaryware Limited,CERA.NS
CEREBRAINT,Cerebra Integrated Technologies Limited,CEREBRAINT.NS
CESC,CESC Limited,CESC.NS
CESCVENT,CESC Ventures Limited,CESCVENT.NS
CGCL,Capri Global Capital Limited,CGCL.NS
CGPOWER,CG Power and Industrial Solutions Limited,CGPOWER.NS
CHALET,Chalet Hotels Limited,CHALET.NS
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,CHAMBLFERT.NS
CHEMBOND,Chembond Chemicals Ltd,CHEMBOND.NS
CHEMFAB,Chemfab Alkalis Limited,CHEMFAB.NS
CHENNPETRO,Chennai Petroleum Corporation Limited,CHENNPETRO.NS
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,CHOLAFIN.NS
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,CHOLAHLDNG.NS
CHROMATIC,Chromatic India Limited,CHROMATIC.NS
CIGNITITEC,Cigniti Technologies Limited,CIGNITITEC.NS
CIMMCO,Cimmco Limited,CIMMCO.NS
CINELINE,Cineline India Limited,CINELINE.NS
CINEVISTA,Cinevista Limited,CINEVISTA.NS
CIPLA,Cipla Limited,CIPLA.NS
CKFSL,Cox & Kings Financial Service Limited,CKFSL.NS
CLEDUCATE,CL Educate Limited,CLEDUCATE.NS
CLNINDIA,Clariant Chemicals (India) Limited,CLNINDIA.NS
CMICABLES,CMI Limited,CMICABLES.NS
CNOVAPETRO,CIL Nova Petrochemicals Limited,CNOVAPETRO.NS
COALINDIA,Coal India Limited,COALINDIA.NS
COCHINSHIP,Cochin Shipyard Limited,COCHINSHIP.NS
COLPAL,Colgate Palmolive (India) Limited,COLPAL.NS
COMPINFO,Compuage Infocom Limited,COMPINFO.NS
COMPUSOFT,Compucom Software Limited,COMPUSOFT.NS
CONCOR,Container Corporation of India Limited,CONCOR.NS
CONFIPET,Confidence Petroleum India Limited,CONFIPET.NS
CONSOFINVT,Consolidated Finvest & Holdings Limited,CONSOFINVT.NS
CONTROLPR,Control Print Limited,CONTROLPR.NS
CORALFINAC,Coral India Finance & Housing Limited,CORALFINAC.NS
CORDSCABLE,Cords Cable Industries Limited,CORDSCABLE.NS
COROMANDEL,Coromandel International Limited,COROMANDEL.NS
COSMOFILMS,Cosmo Films Limited,COSMOFILMS.NS
COUNCODOS,Country Condo's Limited,COUNCODOS.NS
COX&KINGS,Cox & Kings Limited,COX&KINGS.NS
CREATIVE,Creative Peripherals and Distribution Limited,CREATIVE.NS
CREATIVEYE,Creative Eye Limited,CREATIVEYE.NS
CREDITACC,CREDITACCESS GRAMEEN LIMITED,CREDITACC.NS
CREST,Crest Ventures Limited,CREST.NS
CRISIL,CRISIL Limited,CRISIL.NS
CROMPTON,Crompton Greaves Consumer Electricals Limited,CROMPTON.NS
CSBBANK,CSB Bank Limited,CSBBANK.NS
CTE,Cambridge Technology Enterprises Limited,CTE.NS
CUB,City Union Bank Limited,CUB.NS
CUBEXTUB,Cubex Tubings Limited,CUBEXTUB.NS
CUMMINSIND,Cummins India Limited,CUMMINSIND.NS
CUPID,Cupid Limited,CUPID.NS
CYBERTECH,Cybertech Systems And Software Limited,CYBERTECH.NS
CYIENT,Cyient Limited,CYIENT.NS
DAAWAT,LT Foods Limited,DAAWAT.NS
DABUR,Dabur India Limited,DABUR.NS
DALBHARAT,Dalmia Bharat Limited,DALBHARAT.NS
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,DALMIASUG.NS
DAMODARIND,Damodar Industries Limited,DAMODARIND.NS
DATAMATICS,Datamatics Global Services Limited,DATAMATICS.NS
DBCORP,D.B.Corp Limited,DBCORP.NS
DBL,Dilip Buildcon Limited,DBL.NS
DBREALTY,D B Realty Limited,DBREALTY.NS
DBSTOCKBRO,DB (International) Stock Brokers Limited,DBSTOCKBRO.NS
DCAL,Dishman Carbogen Amcis Limited,DCAL.NS
DCBBANK,DCB Bank Limited,DCBBANK.NS
DCM,DCM  Limited,DCM.NS
DCMFINSERV,DCM Financial Services Limited,DCMFINSERV.NS
DCMNVL,DCM Nouvelle Limited,DCMNVL.NS
DCMSHRIRAM,DCM Shriram Limited,DCMSHRIRAM.NS
DCW,DCW Limited,DCW.NS
DECCANCE,Deccan Cements Limited,DECCANCE.NS
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT.NS
DEEPAKNTR,Deepak Nitrite Limited,DEEPAKNTR.NS
DEEPIND,Deep Industries Limited,DEEPIND.NS
DELTACORP,Delta Corp Limited,DELTACORP.NS
DELTAMAGNT,Delta Manufacturing Limited,DELTAMAGNT.NS
DEN,Den Networks Limited,DEN.NS
DENORA,De Nora India Limited,DENORA.NS
DFMFOODS,DFM Foods Limited,DFMFOODS.NS
DGCONTENT,Digicontent Limited,DGCONTENT.NS
DHAMPURSUG,Dhampur Sugar Mills Limited,DHAMPURSUG.NS
DHANBANK,Dhanlaxmi Bank Limited,DHANBANK.NS
DHANUKA,Dhanuka Agritech Limited,DHANUKA.NS
DHFL,Dewan Housing Finance Corporation Limited,DHFL.NS
DHUNINV,Dhunseri Investments Limited,DHUNINV.NS
DIAMONDYD,Prataap Snacks Limited,DIAMONDYD.NS
DIAPOWER,Diamond Power Infra Ltd,DIAPOWER.NS
DICIND,DIC India Limited,DICIND.NS
DIGISPICE,DiGiSPICE Technologies Limited,DIGISPICE.NS
